0.0525	1.51171e-11	0.0909327
0.0523965	0.00329648	0.0909326
0.052086	0.00658	0.0909327
0.0515701	0.00983752	0.0909327
0.0508506	0.0130562	0.0909327
0.0499308	0.0162235	0.0909325
0.0488133	0.0193266	0.0909326
0.0475035	0.0223534	0.0909326
0.0460062	0.0252921	0.0909326
0.0443272	0.0281309	0.0909327
0.0424734	0.0308588	0.0909326
0.0404519	0.0334648	0.0909327
0.0382709	0.0359388	0.0909326
0.0359388	0.0382709	0.0909326
0.0334648	0.040452	0.0909327
0.0308587	0.0424734	0.0909326
0.0281309	0.0443272	0.0909327
0.0252921	0.0460062	0.0909326
0.0223534	0.0475034	0.0909327
0.0193265	0.0488133	0.0909327
0.0162234	0.0499305	0.0909326
0.0130562	0.0508506	0.0909327
0.00983754	0.0515701	0.0909326
0.00658003	0.052086	0.0909327
0.0032965	0.0523964	0.0909327
1.78144e-09	0.0525	0.0909327
-0.00329647	0.0523964	0.0909327
-0.00658	0.052086	0.0909327
-0.00983752	0.0515701	0.0909327
-0.0130562	0.0508506	0.0909327
-0.0162234	0.0499305	0.0909326
-0.0193265	0.0488133	0.0909327
-0.0223535	0.0475035	0.0909326
-0.0252921	0.0460061	0.0909327
-0.0281309	0.0443272	0.0909327
-0.0308588	0.0424734	0.0909327
-0.0334648	0.040452	0.0909327
-0.0359388	0.0382709	0.0909326
-0.0382709	0.0359388	0.0909326
-0.040452	0.0334648	0.0909326
-0.0424735	0.0308587	0.0909326
-0.0443272	0.0281309	0.0909327
-0.0460062	0.0252921	0.0909326
-0.0475034	0.0223534	0.0909327
-0.0488133	0.0193265	0.0909326
-0.0499305	0.0162234	0.0909327
-0.0508507	0.0130562	0.0909326
-0.0515701	0.00983752	0.0909327
-0.0520861	0.00658	0.0909326
-0.0523964	0.0032965	0.0909327
-0.0525	-1.14996e-10	0.0909327
-0.0523964	-0.0032965	0.0909327
-0.0520861	-0.00658	0.0909326
-0.0515701	-0.00983753	0.0909326
-0.0508506	-0.0130562	0.0909327
-0.0499305	-0.0162234	0.0909326
-0.0488133	-0.0193265	0.0909327
-0.0475034	-0.0223534	0.0909327
-0.0460062	-0.0252921	0.0909326
-0.0443273	-0.0281309	0.0909326
-0.0424734	-0.0308587	0.0909327
-0.040452	-0.0334648	0.0909326
-0.0382709	-0.0359387	0.0909327
-0.0359387	-0.0382709	0.0909327
-0.0334648	-0.040452	0.0909327
-0.0308587	-0.0424734	0.0909327
-0.0281309	-0.0443272	0.0909327
-0.0252921	-0.0460061	0.0909327
-0.0223534	-0.0475034	0.0909327
-0.0193266	-0.0488134	0.0909326
-0.0162234	-0.0499305	0.0909327
-0.0130562	-0.0508507	0.0909326
-0.00983752	-0.0515701	0.0909327
-0.00657999	-0.0520861	0.0909326
-0.0032965	-0.0523964	0.0909327
7.98294e-11	-0.0525	0.0909327
0.00329656	-0.0523965	0.0909326
0.00658001	-0.0520861	0.0909326
0.00983752	-0.0515701	0.0909327
0.0130562	-0.0508506	0.0909327
0.0162234	-0.0499305	0.0909326
0.0193265	-0.0488133	0.0909327
0.0223535	-0.0475034	0.0909327
0.0252921	-0.0460062	0.0909326
0.028131	-0.0443272	0.0909326
0.0308588	-0.0424735	0.0909326
0.0334649	-0.0404519	0.0909326
0.0359388	-0.0382709	0.0909326
0.0382709	-0.0359387	0.0909327
0.0404519	-0.0334648	0.0909327
0.0424734	-0.0308587	0.0909327
0.0443272	-0.0281309	0.0909327
0.0460061	-0.0252921	0.0909327
0.0475035	-0.0223535	0.0909326
0.0488133	-0.0193266	0.0909326
0.0499305	-0.0162234	0.0909327
0.0508506	-0.0130562	0.0909327
0.0515702	-0.00983753	0.0909326
0.0520861	-0.00658005	0.0909326
0.0523965	-0.00329651	0.0909326
0.0525001	6.78109e-10	0.0909326
